chip,filter_regime,group,comparison,latent__model_id,latent__chip,latent__filter_regime,complexity__kappa_delta,complexity__effrank_delta,complexity__sparsity_delta,complexity__composite_kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__spectral_entropy_delta,mp__participation_ratio_delta,mp__largest_eigenvalue_fraction_delta,mp__excess_spectral_mass_delta,latent__pr_delta,latent__eig_entropy_delta,latent__centroid_distance,n_structural_metrics_available,latent__anisotropy_delta,latent__radius_delta,complexity_direction,entropy_direction,mp_direction,latent_direction,n_direction_metrics_available,n_positive_direction_metrics,n_negative_direction_metrics,n_near_zero_direction_metrics,engine_sign_majority,engine_sign_agreement_fraction
hu6800,variance_comparison,blastomas,Brain/GBM,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-41.28,0.08999999999999986,0,-107.98,0.321,0.08,0.2720393523813449,1.3026471222669587,-0.004806319909931744,-132.0893486029579,1.3101064058543206,0.43779042506273425,26.573302833562675,13,-0.164027576490885,4.097759026755892,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_comparison,blastomas,Brain/MB,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-35.23,0.24,0,-97.94,0.322,0.204,0.2716001507106818,1.3367822197368309,-0.020849080161408517,-128.88806324756922,0.8436079751323318,0.2875756887456935,33.63082454360858,13,-0.13661042197450357,1.24023112775485,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,BLAD/TCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-20.46,0.54,0,-94.93999999999998,0.659,0.435,0.42261850869112605,1.8202958336582133,-0.09175175694516302,31.390240909977024,0.03242986832782435,0.09149530794372684,38.86635078543544,13,0.02567274588747103,-2.197591639938583,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,BR/BRAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,45.39,0.6399999999999999,0,66.91000000000001,1.145,0.562,0.6433832066917133,1.3417632716454984,-0.08268018818598655,88.92068138449872,1.225161795636758,0.6643009577915008,35.51757903830364,13,-0.22875755144971857,4.361136175296636,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,COL/COADREAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-13.13,0.020000000000000018,0,-30.939999999999998,0.136,0.015,0.22369446764693746,1.1747218181034373,-0.0940381815298133,-108.39640092494392,0.28044173719284515,0.20096526056886277,25.23761229507801,13,-0.0056431991581678,8.350077737549444,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,KID/RCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-58.04,0.1299999999999999,0,-167.89999999999998,-0.415,0.119,-0.07131163119730322,0.43594184732930596,-0.05288652074861333,-260.1766160467148,-0.21424792979112528,-0.06504743111835376,17.16409086737303,13,0.04336119297881075,11.137916380722046,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu6800,variance_global,carcinomas,LU/LUAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,11.72,0.71,0,-1.3799999999999955,1.142,0.643,0.5487769344418161,0.8722465414575353,-0.021953146216297237,393.2861531855532,0.8296518136375493,0.4353216822936152,15.243724594175744,13,-0.13305952780598795,4.318602797607163,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,OV/OVAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,62.71,0.47,0,115.91000000000001,1.326,0.444,NA,NA,NA,NA,0.2688214212111153,0.29342768605971425,25.847101081968628,9,-0.03356395733621764,10.346574058061034,positive,positive,NA,positive,3,3,0,0,positive,1
hu6800,variance_global,carcinomas,PA/PAAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-28.13,0.09000000000000008,0,-49.78,-0.005,0.08,-0.3768215226892566,-2.754598651251003,0.2459014272514511,381.74528654332767,-0.41260394593940086,-0.08564329527603554,24.020789985553503,13,0.07047588058699261,1.7063534455500289,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu6800,variance_global,carcinomas,PR/PRAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-5.87,0.49,0,-38.22,0.194,0.476,0.030326864398700026,-0.010537778657464525,-0.0031917267527714066,144.21463725238414,0.8979438861305238,0.18388723722649747,12.516527930872783,13,-0.1364899255342542,5.794295710306066,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,carcinomas,UT/EAC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,26.26,0.020000000000000018,0,75.71000000000001,0.736,0.015,0.6334090587499279,2.0107614454785545,-0.20033056545544048,-255.67830613808724,2.3965193055418057,0.9481379713936858,26.499227794457173,13,-0.4287734720048389,4.971990788756795,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,blastomas,Brain/GBM,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-41.28,0.08999999999999986,0,-107.98,0.321,0.08,0.2720393523813449,1.3026471222669587,-0.004806319909931744,-132.0893486029579,1.3101064058543206,0.43779042506273425,26.573302833562675,13,-0.164027576490885,4.097759026755892,positive,positive,positive,positive,4,4,0,0,positive,1
hu6800,variance_global,blastomas,Brain/MB,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-35.23,0.24,0,-97.94,0.322,0.204,0.2716001507106818,1.3367822197368309,-0.020849080161408517,-128.88806324756922,0.8436079751323318,0.2875756887456935,33.63082454360858,13,-0.13661042197450357,1.24023112775485,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,leukemias,PB/B-ALL,NA,NA,NA,57.68,-0.010000000000000009,0,119.03,1.007,-0.01,0.88085424966499,4.282897210359475,-0.28125471401580904,-163.61348148644652,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu35ksuba,limma,leukemias,PB/T-ALL,NA,NA,NA,47.41,-0.06999999999999984,0,111.32999999999998,1.005,-0.068,0.8524201061468248,3.8050774645299366,-0.25251207222671607,-147.29753941495164,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu35ksuba,variance_comparison,leukemias,PB/B-ALL,NA,NA,NA,37.09,0.010000000000000009,0,63.349999999999994,1.006,0.004,0.9313011198551144,3.9777059572361364,-0.309298512942816,-426.5348450141954,NA,NA,NA,10,NA,NA,positive,positive,positive,NA,3,3,0,0,positive,1
hu35ksuba,variance_comparison,leukemias,PB/T-ALL,NA,NA,NA,29.62,-0.009999999999999787,0,48.640000000000015,1.005,-0.005,0.8757729492541968,3.2921406727617084,-0.2636108278343209,-306.30587536288454,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu35ksuba,variance_global,leukemias,PB/B-ALL,NA,NA,NA,37.09,0.010000000000000009,0,63.349999999999994,1.006,0.004,0.9313011198551144,3.9777059572361364,-0.309298512942816,-426.5348450141954,NA,NA,NA,10,NA,NA,positive,positive,positive,NA,3,3,0,0,positive,1
hu35ksuba,variance_global,leukemias,PB/T-ALL,NA,NA,NA,29.62,-0.009999999999999787,0,48.640000000000015,1.005,-0.005,0.8757729492541968,3.2921406727617084,-0.2636108278343209,-306.30587536288454,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,limma,leukemias,PB/B-ALL,NA,NA,NA,63,-0.21999999999999997,0,229.01999999999998,1.003,-0.232,0.7067992983338127,2.532154028407449,-0.12247247571977538,-34.537434604421776,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,limma,leukemias,PB/T-ALL,NA,NA,NA,30.39,-0.24,0,131.44,0.846,-0.253,0.6961418993794273,2.643130965613876,-0.17533817682777392,-71.73026925799428,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,variance_comparison,leukemias,PB/B-ALL,NA,NA,NA,54.38,-0.17000000000000015,0,157.70000000000002,1.003,-0.171,0.6940072003593438,2.233384566927765,-0.14054299615541854,-59.8376397560246,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,variance_comparison,leukemias,PB/T-ALL,NA,NA,NA,19.82,-0.16000000000000014,0,55.349999999999994,0.849,-0.154,0.5753516812276123,1.4781602509380551,-0.06756103760954107,-43.14835737883959,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,variance_global,leukemias,PB/B-ALL,NA,NA,NA,54.38,-0.17000000000000015,0,157.70000000000002,1.003,-0.171,0.6940072003593438,2.233384566927765,-0.14054299615541854,-59.8376397560246,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
hu6800,variance_global,leukemias,PB/T-ALL,NA,NA,NA,19.82,-0.16000000000000014,0,55.349999999999994,0.849,-0.154,0.5753516812276123,1.4781602509380551,-0.06756103760954107,-43.14835737883959,NA,NA,NA,10,NA,NA,negative,negative,positive,NA,3,1,2,0,negative,0.6666666666666666
