source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,entropy_covariance_space,shannon_normal,shannon_tumor,shannon_delta,shannon_direction,spectral_normal,spectral_tumor,spectral_delta,spectral_direction,run_permutation,permutation_metric,permutation_unit,n_perm,p_perm_shannon,p_perm_spectral,run_bootstrap,bootstrap_metric,bootstrap_unit,n_boot,shannon_boot_normal_mean,shannon_boot_normal_ci_lower,shannon_boot_normal_ci_upper,shannon_boot_tumor_mean,shannon_boot_tumor_ci_lower,shannon_boot_tumor_ci_upper,spectral_boot_normal_mean,spectral_boot_normal_ci_lower,spectral_boot_normal_ci_upper,spectral_boot_tumor_mean,spectral_boot_tumor_ci_lower,spectral_boot_tumor_ci_upper,status,p_perm_shannon_fdr,p_perm_spectral_fdr
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,UT/EAC,variance_comparison,entropy,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,sample,14.113,14.851,0.738,strongly chaotic,0.781,0.984,0.203,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.35,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.64477,0.3160500000000003,0.838,0.81444,0.6127,0.9465249999999998,ok,NA,0.475
entropy_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/GBM,variance_comparison,entropy,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,sample,14.53,14.852,0.322,mildly chaotic,0.764,1.018,0.254,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.04,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.62406,0.406175,0.751,0.84235,0.6813750000000001,0.9721,ok,NA,0.15
entropy_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/MB,variance_comparison,entropy,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,sample,14.53,14.854,0.324,mildly chaotic,0.779,1.108,0.329,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.15,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.63497,0.410175,0.76705,0.90781,0.689025,1.124525,ok,NA,0.25
entropy_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/FL,variance_comparison,entropy,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.Follicular.lymphoma,3000,6,11,3000,sample,14.111,14.991,0.88,strongly chaotic,0.436,0.864,0.428,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.03,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.36426,0.18995,0.48177499999999984,0.73108,0.5207250000000001,0.8672,ok,NA,0.15
entropy_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/LBCL,variance_comparison,entropy,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.large.B.cell.lymphoma,3000,6,11,3000,sample,14.112,14.99,0.878,strongly chaotic,0.432,0.619,0.187,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.38,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.36035,0.181375,0.47705,0.5214,0.42685,0.6079249999999998,ok,NA,0.475
entropy_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/B-ALL,variance_comparison,entropy,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,sample,13.846,14.852,1.006,strongly chaotic,0.691,0.695,0.004,neutral,TRUE,spectral,sample_label,100,NA,0.99,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.53876,0.21375000000000002,0.694,0.5649,0.42307500000000003,0.667,ok,NA,0.99
entropy_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/T-ALL,variance_comparison,entropy,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,10,3000,sample,13.847,14.852,1.005,strongly chaotic,0.701,0.696,-0.005,neutral,TRUE,spectral,sample_label,100,NA,0.97,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.54702,0.213375,0.700525,0.56365,0.386475,0.67425,ok,NA,0.99
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,variance_global,entropy,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,sample,14.335,14.992,0.657,strongly chaotic,0.726,0.989,0.263,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.13,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.57655,0.33885000000000004,0.718,0.83243,0.6537750000000002,0.9833,ok,NA,0.24375000000000002
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,variance_global,entropy,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,sample,13.848,14.991,1.143,strongly chaotic,0.678,1.459,0.781,strongly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.51829,0.099,0.7467249999999999,1.22104,0.9332000000000001,1.4383999999999997,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,variance_global,entropy,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,11,11,3000,sample,14.989,14.989,0,neutral,0.775,0.999,0.224,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.07,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.67982,0.522325,0.8282499999999999,0.84617,0.693475,0.983575,ok,NA,0.19285714285714284
